Date,Temperature
2020-01-01,23.621964597533825
2020-01-02,21.35246190041464
2020-01-03,20.43842734499791
2020-01-04,20.31411729718167
2020-01-05,25.488704891339715
2020-01-06,24.543997707894018
2020-01-07,19.47532110785378
2020-01-08,18.32238092960026
2020-01-09,18.620769810939414
2020-01-10,22.73854229817579
2020-01-11,22.19400932167534
2020-01-12,21.96599717228147
2020-01-13,24.469935159024185
2020-01-14,22.61386176279178
2020-01-15,24.560428147495557
2020-01-16,25.847325002523824
2020-01-17,23.86011146275206
2020-01-18,21.146546616144732
2020-01-19,25.046014557761687
2020-01-20,27.360384425228037
2020-01-21,22.446993056587925
2020-01-22,25.01130211908291
2020-01-23,28.32423636367631
2020-01-24,27.056427550107795
2020-01-25,27.676710035601488
2020-01-26,27.35852162619138
2020-01-27,27.08861268715386
2020-01-28,26.947188289772598
2020-01-29,25.41992483063007
2020-01-30,26.418206007372763
2020-01-31,25.29760513652618
2020-02-01,23.59641145825713
2020-02-02,29.748687942914408
2020-02-03,27.317639850687634
2020-02-04,30.125182165812134
2020-02-05,25.06929098448195
2020-02-06,30.297572008764067
2020-02-07,26.33904777263788
2020-02-08,28.272780073464784
2020-02-09,26.934145777356164
2020-02-10,28.46919345976979
2020-02-11,26.641067264319144
2020-02-12,33.224588794910254
2020-02-13,27.594297276604777
2020-02-14,33.835760103743844
2020-02-15,27.835026211442806
2020-02-16,25.82494516085472
2020-02-17,32.337837164655845
2020-02-18,26.186403141394422
2020-02-19,29.68771290920942
2020-02-20,28.632457255172227
2020-02-21,29.999553520667348
2020-02-22,29.219291774981198
2020-02-23,31.787150739027553
2020-02-24,28.97973498975025
2020-02-25,29.320104473044704
2020-02-26,31.43913207812914
2020-02-27,26.666346768026642
2020-02-28,33.17715077155396
2020-02-29,28.452256718685668
2020-03-01,34.093287281581695
2020-03-02,30.64118790226925
2020-03-03,26.841384173815626
2020-03-04,28.292536317304055
2020-03-05,33.66408115182835
2020-03-06,30.78494083084651
2020-03-07,31.70534365605295
2020-03-08,29.967907840076347
2020-03-09,29.2895553774209
